ID;Name;Frequency
1;Мария;252
2;Анастасия;224
3;Анна;190
4;Варвара;190
5;Виктория;186
483;Амелия;8
484;Камила;8
485;Евангелина;8
486;Альбина;8
487;Владислава;8
488;Айлин;8
489;Евдокия;7
490;Марьям;7
491;Лейла;7
492;Мелисса;7
493;Амира;7
494;Оливия;7
495;Виталина;7
496;Станислава;6
497;Марьяна;6
498;Фатима;6
499;Влада;6
500;Дана;6
501;Мария;271
502;Анастасия;242
503;Виктория;226
504;София;217
505;Анна;216
506;Елизавета;214
507;Алиса;191
508;Дарья;189
509;Александра;182
510;Полина;161
511;Ксения;157
512;Варвара;155
513;Валерия;149
514;Екатерина;141
515;Арина;134
516;Вероника;118
517;Софья;110
518;Василиса;108
519;Милана;103
520;Ульяна;101
521;Ева;99
522;Кира;86
523;Вера;67
524;Маргарита;66
525;Таисия;65
526;Алёна;62
527;Кристина;62
528;Алина;59
529;Юлия;53
530;Елена;46
531;Диана;45
532;Амина;44
533;Ольга;43
534;Стефания;42
535;Евгения;36
536;Майя;34
537;Ангелина;32
538;Надежда;30
539;Яна;29
540;Марина;29
541;Есения;28
542;Татьяна;27
543;Эмилия;27
544;Мирослава;26
545;Элина;26
546;Злата;26
547;Агата;25
548;Ирина;23
549;Ярослава;23
550;Сафия;23
551;Аделина;22
552;Марьям;20
553;Евдокия;18
554;Антонина;18
555;Ясмина;17
556;Любовь;17
557;Нина;17
558;Олеся;16
559;Светлана;16
560;Ника;16
561;Николь;16
562;Карина;15
563;Алия;15
564;Лидия;14
565;Дарина;13
566;Милена;13
567;Лилия;13
568;Марьяна;12
569;Лейла;12
570;Мила;12
571;Камилла;11
572;Камила;11
573;Зоя;11
574;Амелия;11
575;Фатима;11
576;Амалия;11
577;Ариана;10
578;Марианна;10
579;Виолетта;10
580;Каролина;10
581;Альбина;9
582;Аиша;9
583;Марта;9
584;Амира;9
585;Аглая;9
586;Самира;9
587;Эмма;9
588;Малика;8
589;Раяна;8
590;Эвелина;8
591;Наталья;8
592;Анжелика;8
593;Айлин;8
594;Асия;8
595;Аяна;8
596;Агния;8
597;Милослава;8
598;Евангелина;8
599;Алисия;7
600;Сабина;7
601;Мария;331
602;Анна;287
603;Анастасия;270
604;София;230
605;Виктория;226
606;Елизавета;218
607;Александра;214
608;Полина;203
609;Алиса;200
610;Варвара;191
611;Дарья;179
612;Екатерина;172
613;Арина;149
614;Софья;138
615;Ксения;133
616;Вероника;128
617;Василиса;124
618;Валерия;122
619;Милана;121
620;Ульяна;121
621;Ева;107
622;Маргарита;82
623;Вера;81
624;Алёна;79
625;Ольга;75
626;Кира;74
627;Кристина;65
628;Юлия;61
629;Ангелина;58
630;Алина;58
631;Таисия;55
632;Диана;49
633;Амина;46
634;Яна;44
635;Евгения;42
636;Мирослава;40
637;Сафия;34
638;Ирина;29
639;Надежда;29
640;Елена;28
641;Стефания;28
642;Татьяна;26
643;Марина;26
644;Ника;26
645;Аделина;25
646;Майя;25
647;Элина;24
648;Эмилия;24
649;Олеся;22
650;Ясмина;22
651;Агата;22
652;Марьям;22
653;Аиша;21
654;Ярослава;20
655;Милена;20
656;Злата;19
657;Дарина;18
658;Любовь;18
659;Есения;18
660;Антонина;15
661;Камилла;15
662;Алия;14
663;Мила;14
664;Каролина;14
665;Агния;14
666;Эвелина;14
667;Светлана;14
668;Зоя;14
669;Камила;13
670;Евангелина;12
671;Владислава;12
672;Амелия;12
673;Лилия;12
674;Нина;12
675;Раяна;12
676;Марианна;11
677;Валентина;11
678;Карина;11
679;Лейла;11
680;Николь;11
681;Айлин;10
682;Юлиана;10
683;Малика;10
684;Ариана;9
685;Наталья;9
686;Анжелика;9
687;Мира;9
688;Марьяна;9
689;Самира;9
690;Виолетта;9
691;Мадина;9
692;Аглая;9
693;Лада;9
694;Лидия;9
695;Наталия;9
696;Евдокия;8
697;Марта;8
698;Алсу;8
699;Зарина;8
700;Амира;8
701;Мария;312
702;Анна;257
703;София;225
704;Анастасия;216
705;Елизавета;202
706;Виктория;201
707;Полина;192
708;Дарья;187
709;Алиса;180
710;Александра;159
711;Арина;149
712;Екатерина;148
713;Ксения;140
714;Вероника;133
715;Варвара;132
716;Милана;109
717;Василиса;100
718;Валерия;97
719;Ева;97
720;Софья;94
721;Ульяна;90
722;Маргарита;81
723;Кира;76
724;Кристина;68
725;Ольга;68
726;Таисия;64
727;Алёна;61
728;Диана;61
729;Юлия;60
730;Алина;56
731;Вера;55
732;Мирослава;51
733;Ангелина;50
734;Амина;49
735;Злата;32
736;Елена;31
737;Яна;31
738;Евгения;30
739;Татьяна;30
740;Ирина;27
741;Сафия;27
742;Аделина;25
743;Есения;25
744;Элина;23
745;Майя;22
746;Стефания;22
